countrycode,seriescode,Description
MYS,IT.NET.BBND.P2,Jabatan Telekom Malaysia. From 2002: Malaysian Communications and Multimedia Commission (MCMC).
MYS,SP.POP.1564.MA.ZS,Including Sabah and Sarawak.
MYS,SM.POP.NETM,Data source: United Nations World Population Prospects
MYS,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Including Singapore residents crossing the frontier by road through Johore Causeway.
MYS,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MYS,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
MYS,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
MYS,MS.MIL.XPND.GD.ZS,1960-1971 &  1982-1985 SIPRI estimates.
MYS,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
MYS,MS.MIL.XPND.ZS,1960-1971 &  1982-1985 SIPRI estimates.
MYS,IT.MLT.MAIN.P2,Jabatan Telekom Malaysia. From 2002: Malaysian Communications and Multimedia Commission (MCMC).
MYS,IT.CEL.SETS,Jabatan Telekom Malaysia. From 2002: Malaysian Communications and Multimedia Commission (MCMC).
MYS,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
MYS,IT.NET.BBND,Jabatan Telekom Malaysia. From 2002: Malaysian Communications and Multimedia Commission (MCMC).
MYS,SP.POP.TOTL.FE.ZS,Including Sabah and Sarawak.
MYS,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
MYS,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
MYS,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MYS,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2016 are World Bank staff estimates based on reports provided by the country. Short-term debt data for 2016 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
MYS,ST.INT.DPRT,"Includes overnight visitors (tourists) and same-day visitors (excursionists). Outgoing Peninsular Malaysians, including departures via Johore Causeway by road."
NPL,MS.MIL.XPND.CN,1970 SIPRI estimates.
NPL,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2024 are World Bank staff estimates based on the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and participating in 2020 and 2021.
NPL,ST.INT.DPRT,Includes overnight visitors (tourists) only.
NPL,MS.MIL.XPND.ZS,1970 SIPRI estimates.
NPL,MS.MIL.XPND.GD.ZS,1970 SIPRI estimates.
NPL,SP.POP.GROW,Data source: United Nations World Population Prospects
NPL,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
NPL,IT.NET.BBND,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
NPL,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
NPL,MS.MIL.XPND.CD,1970 SIPRI estimates.
NPL,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
NPL,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
NPL,IT.NET.USER.ZS,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,IT.CEL.SETS,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
NPL,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
NPL,IT.NET.BBND.P2,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,IT.MLT.MAIN,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,SM.POP.NETM,Data source: United Nations World Population Prospects
NPL,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
NPL,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
NPL,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
NPL,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Including arrivals from India.
NPL,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
NPL,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
NPL,IT.CEL.SETS.P2,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,SP.POP.TOTL,Data source: United Nations World Population Prospects
NPL,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
NPL,IT.MLT.MAIN.P2,Nepal Telecom. From 2003: Nepal Telecommunications Authority (NTA).
NPL,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
NPL,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
NPL,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
NPL,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
PHL,DT.DOD.DPNG.CD,"Long-term private nonguaranteed debt includes the following monitored aggregate private-sector debt: unregistered debt, intercompany debt and capital leases."
PHL,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
PHL,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
PHL,IT.MLT.MAIN.P2,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PHL,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
PHL,IT.NET.BBND,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PHL,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
PHL,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
PHL,IT.CEL.SETS,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PHL,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
PHL,IT.NET.USER.ZS,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PHL,MS.MIL.XPND.ZS,"1960-2002, 2004 & 2014 SIPRI estimates."
PHL,VC.IHR.PSRC.P5,Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.
PHL,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
PHL,SP.POP.TOTL,Data source: United Nations World Population Prospects
PHL,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
PHL,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
PHL,ST.INT.DPRT,Includes overnight visitors (tourists) only.
PHL,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
PHL,SM.POP.NETM,Data source: United Nations World Population Prospects
PHL,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
PHL,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
PHL,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
PHL,MS.MIL.XPND.GD.ZS,"1960-2002, 2004 & 2014 SIPRI estimates."
PHL,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
PHL,IT.CEL.SETS.P2,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PHL,MS.MIL.XPND.CN,"1960-2002, 2004 & 2014 SIPRI estimates."
PHL,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Including nationals residing abroad.
PHL,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed, and short-term debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data no longer include unregistered debt and are revised from 2005 based on the reports provided by the country."
PHL,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
PHL,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
PHL,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
PHL,IT.MLT.MAIN,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PHL,MS.MIL.XPND.CD,"1960-2002, 2004 & 2014 SIPRI estimates."
PHL,SP.POP.GROW,Data source: United Nations World Population Prospects
PHL,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
PHL,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
PHL,IT.NET.BBND.P2,Philippine Long Distance Telephone Company (PLDT). From 2000: National Telecommunications Commission (NTC).
PRK,IT.MLT.MAIN.P2,Ministry of Posts and Telecommunications.
PRK,IT.NET.BBND,Ministry of Posts and Telecommunications.
PRK,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
PRK,IT.NET.BBND.P2,Ministry of Posts and Telecommunications.
PRK,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists).
PRK,MS.MIL.XPND.CN,1986-2018 highly uncertain data.
PRK,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
PRK,IT.NET.USER.ZS,Ministry of Posts and Telecommunications.
PRK,BM.KLT.DINV.CD.WD,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
PRK,SM.POP.NETM,Data source: United Nations World Population Prospects
PRK,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
PRK,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
PRK,IT.MLT.MAIN,Ministry of Posts and Telecommunications.
PRK,MS.MIL.XPND.CD,1986-2017 highly uncertain data.
PRK,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
PRK,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
PRK,SP.POP.TOTL,Data source: United Nations World Population Prospects
PRK,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
PRK,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
PRK,IT.CEL.SETS,Ministry of Posts and Telecommunications.
PRK,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
PRK,IT.CEL.SETS.P2,Ministry of Posts and Telecommunications.
PRK,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
PRK,SP.POP.GROW,Data source: United Nations World Population Prospects
PRK,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
SGP,MS.MIL.XPND.CN,1970-1972 SIPRI estimates.
SGP,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding arrivals of Malaysian citizens by land.
SGP,ST.INT.DPRT,Includes overnight visitors (tourists) only.
SGP,IT.CEL.SETS,Infocomm Development Authority of Singapore (IDA).
SGP,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
SGP,IT.NET.BBND.P2,Infocomm Development Authority of Singapore (IDA).
SGP,SP.POP.TOTL,Data source: Department of Statistics Singapore
SGP,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
SGP,MS.MIL.XPND.GD.ZS,1970-1972 SIPRI estimates.
SGP,SP.DYN.TFRT.IN,Data source: Department of Statistics Singapore
SGP,SG.GEN.PARL.ZS,The parliament convened on 2 November 2006 following the elections held in May. Nine members are yet to be appointed to the parliament.
SGP,SP.DYN.CDRT.IN,Data source: Department of Statistics Singapore
SGP,SP.DYN.LE00.FE.IN,"Data source: Department of Statistics Singapore, United Nations World Population Prospects"
SGP,IT.NET.USER.ZS,Infocomm Development Authority of Singapore (IDA).
SGP,IT.MLT.MAIN.P2,Infocomm Development Authority of Singapore (IDA).
SGP,IT.CEL.SETS.P2,Infocomm Development Authority of Singapore (IDA).
SGP,SP.DYN.CBRT.IN,Data source: Department of Statistics Singapore
SGP,SP.DYN.LE00.MA.IN,"Data source: Department of Statistics Singapore, United Nations World Population Prospects"
SGP,SP.DYN.LE00.IN,Derived using male and female life expectancy
SGP,IT.NET.BBND,Infocomm Development Authority of Singapore (IDA).
SGP,SP.POP.GROW,Data source: Department of Statistics Singapore
SGP,MS.MIL.XPND.ZS,1970-1972 SIPRI estimates.
SGP,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
SGP,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
SGP,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
SGP,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
SGP,SM.POP.NETM,Data source: United Nations World Population Prospects
SGP,IT.MLT.MAIN,Infocomm Development Authority of Singapore (IDA).
SGP,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
SGP,MS.MIL.XPND.CD,1970-1972 SIPRI estimates.
THA,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
THA,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
THA,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
THA,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
THA,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
THA,IT.NET.USER.ZS,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
THA,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
THA,IT.CEL.SETS.P2,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
THA,IT.NET.BBND,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
THA,SP.POP.TOTL,Data source: United Nations World Population Prospects
THA,MS.MIL.XPND.GD.ZS,1960-1999 SIPRI estimates.
THA,MS.MIL.XPND.ZS,1960-1999 SIPRI estimates.
THA,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
THA,MS.MIL.XPND.CN,1960-1999 SIPRI estimates.
THA,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
THA,IT.MLT.MAIN,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
THA,SM.POP.NETM,Data source: United Nations World Population Prospects
THA,ST.INT.DPRT,Includes overnight visitors (tourists) only.
THA,IT.NET.BBND.P2,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,MS.MIL.XPND.CD,1960-1999 SIPRI estimates.
THA,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
THA,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
THA,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
THA,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
THA,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
THA,IT.CEL.SETS,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,SP.POP.GROW,Data source: United Nations World Population Prospects
THA,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. 1995-2005: including arrivals of nationals residing abroad.
THA,IT.MLT.MAIN.P2,Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).
THA,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
THA,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
THA,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
TLS,SG.GEN.PARL.ZS,"The purpose of elections held on 30 August 2001 was to elect members of the Constituent Assembly of Timor-Leste. This body became the National Parliament on 20 May 2002, the date on which the country became independent, without any new elections"
TLS,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
TLS,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
TLS,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
TLS,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
TLS,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
TLS,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014). GDP data excludes oil output."
TLS,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
TLS,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
TLS,NY.GNP.PCAP.PP.KD,Estimates are based on regression.
TLS,SP.POP.GROW,Data source: United Nations World Population Prospects
TLS,MS.MIL.XPND.CD,2007 SIPRI estimates.
TLS,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
TLS,NE.CON.PRVT.PP.KD,Estimates are based on regression.
TLS,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
TLS,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
TLS,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
TLS,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
TLS,NE.CON.PRVT.PP.CD,Estimates are based on regression.
TLS,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Arrivals by air at Dili Airport.
TLS,SE.XPD.TOTL.GD.ZS,GDP does not include the income from petroleum.
TLS,MS.MIL.XPND.ZS,2007 SIPRI estimates.
TLS,MS.MIL.XPND.CN,2007 SIPRI estimates.
TLS,NY.GNP.MKTP.PP.KD,Estimates are based on regression.
TLS,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
TLS,NY.GDP.COAL.RT.ZS,GDP data excludes oil output.
TLS,NY.GDP.FRST.RT.ZS,GDP data excludes oil output.
TLS,NY.GDP.MINR.RT.ZS,GDP data excludes oil output.
TLS,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and not participating in 2020 and 2021.
TLS,SP.POP.TOTL,Data source: United Nations World Population Prospects
TLS,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
TLS,MS.MIL.XPND.GD.ZS,2007 SIPRI estimates.
TLS,NY.GDP.TOTL.RT.ZS,GDP data excludes oil output.
TLS,NY.GDP.PETR.RT.ZS,GDP data excludes oil output.
TLS,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
TLS,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
TLS,NY.GDP.NGAS.RT.ZS,GDP data excludes oil output.
TLS,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
TLS,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
TLS,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
TLS,SM.POP.NETM,Data source: United Nations World Population Prospects
TLS,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
VNM,ST.INT.XPND.CD,"Compiled from data reported by the country. The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
VNM,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
VNM,MS.MIL.XPND.CD,2012-2018 highly uncertain data.
VNM,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
VNM,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
VNM,IT.CEL.SETS,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,IT.NET.USER.ZS,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
VNM,BX.TRF.PWKR.CD.DT,"Data on Personal Transfers and Compensation of Employees are prepared by World Bank staff based on IMF's Balance of Payments statistics and data releases from central banks, national statistical agencies, and World Bank country desks."
VNM,MS.MIL.XPND.CN,2012-2018 highly uncertain data.
VNM,SP.POP.GROW,Data source: United Nations World Population Prospects
VNM,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
VNM,IT.NET.BBND.P2,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,SP.POP.TOTL,Data source: United Nations World Population Prospects
VNM,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
VNM,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
VNM,SM.POP.NETM,Data source: United Nations World Population Prospects
VNM,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
VNM,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
VNM,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
VNM,IT.NET.BBND,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,MS.MIL.XPND.ZS,2012-2018 highly uncertain data.
VNM,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
VNM,IT.CEL.SETS.P2,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Including nationals residing abroad.
VNM,IT.MLT.MAIN.P2,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
VNM,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
VNM,ST.INT.RCPT.CD,"Compiled from data reported by the country. The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
VNM,IT.MLT.MAIN,Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).
VNM,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt, long-term private nonguaranteed debt and short-term debt data for 2024 are based on reports provided by the country."
